District,Total,Revenue Circlewise,Male,Female,Children,Pregnant / Lactating Mother,Person with Disability
Chirang,3384,"(Sidli | 0), (Bengtal | 224), (Bijni | 3160)",1623,1197,546,18,0
Cachar,13259,"(Katigorah | 1962), (Silchar | 10468), (Lakhipur | 108), (Sonai | 677), (Udharbond | 44)",5570,4878,2809,0,2
Bongaigaon,8367,"(Boitamari | 586), (Srijangram | 7021), (Manikpur | 760)",3915,3358,1012,82,0
Barpeta,13178,"(Barpeta | 7253), (Kalgachia | 0), (Sarthebari | 2706), (Barnagar | 0), (Chenga | 1604), (Baghbar | 1615)",5528,5021,2494,116,19
Baksa,681,"(Baganpara | 0), (Barnagar RC part | 0), (Jalah | 0), (Barama | 305), (Baska | 376)",293,289,91,8,0
Bajali,6439,"(Sarupeta | 1662), (Bajali | 4777)",2718,2983,628,93,17
Hojai,39405,"(Lanka | 0), (Hojai | 35986), (Doboka | 3419)",20534,17781,1080,8,2
Dhubri,8234,"(Dhubri | 0), (Gauripur | 0), (South Salmara Part | 0), (Athani | 597), (Bilasipara | 7422), (Agamoni | 0), (Chapar | 149), (Golakganj | 66)",2366,3469,2379,20,0
Tinsukia,1223,(Doomdooma | 1223),540,400,263,20,0
Cachar,19433,"(Silchar | 10468), (Sonai | 1823), (Udharbond | 44), (Katigorah | 4463), (Lakhipur | 2635)",8364,7151,3915,1,2
Barpeta,62477,"(Barpeta | 55933), (Sarthebari | 2841), (Barnagar | 0), (Kalgachia | 0), (Chenga | 1180), (Baghbar | 2523)",15796,26614,19916,146,5
Bongaigaon,8430,"(Boitamari | 656), (Srijangram | 7021), (Manikpur | 753)",3889,3419,1033,89,0
Chirang,3831,"(Sidli | 0), (Bijni | 3090), (Bengtal | 741)",1693,1382,691,60,5
Darrang,5033,"(Mangaldoi | 1227), (Patharighat | 572), (Dalgaon | 1670), (Sipajhar | 1564)",1870,1915,1214,29,5
Dhubri,6990,"(Agamoni | 0), (Athani | 596), (Dhubri | 40), (Gauripur | 0), (Bilasipara | 6171), (Chapar | 117), (Golakganj | 66)",2168,2974,1828,20,0
Dima-Hasao,1609,(Haflong | 1609),568,601,383,56,1
