District,Total,Relief Camp,Relief Distribution Centres
Darrang,43,"16(Dalgaon | 1, Patharighat | 3, Mangaldoi | 9, Sipajhar | 3)","27(Dalgaon | 20, Patharighat | 3, Mangaldoi | 0, Sipajhar | 4)"
Chirang,20,"13(Bijni | 12, Bengtal | 1, Sidli | 0)","7(Bijni | 4, Bengtal | 0, Sidli | 3)"
Udalguri,73,"33(Udalguri | 11, Mazbat | 9, Kalaigaon | 9, Harisinga | 4, Khairabari | 0)","40(Udalguri | 0, Mazbat | 0, Kalaigaon | 30, Harisinga | 5, Khairabari | 5)"
Cachar,4,"3(Silchar | 2, Katigorah | 1)","1(Silchar | 1, Katigorah | 0)"
Bongaigaon,29,"24(Manikpur | 3, Boitamari | 3, Srijangram | 18)","5(Manikpur | 5, Boitamari | 0, Srijangram | 0)"
Barpeta,63,"57(Chenga | 18, Barpeta | 33, Sarthebari | 6)","6(Chenga | 3, Barpeta | 0, Sarthebari | 3)"
Dhubri,42,"42(Bilasipara | 33, Golakganj | 1, Athani | 4, Chapar | 4)","0(Bilasipara | 0, Golakganj | 0, Athani | 0, Chapar | 0)"
Karbi Anglong West,5,0(Donkamokam | 0),5(Donkamokam | 5)
Kamrup (M),5,2(Guwahati | 2),3(Guwahati | 3)
Karbi Anglong West,4,0(Donkamokam | 0),4(Donkamokam | 4)
Karimganj,98,"40(Karimganj | 19, Badarpur | 18, Patherkandi | 3, RK Nagar | 0, Nilambazar | 0)","58(Karimganj | 0, Badarpur | 12, Patherkandi | 8, RK Nagar | 25, Nilambazar | 13)"
Lakhimpur,27,"0(Bihpuria | 0, Dhakuakhana | 0, Nowboicha | 0, Subansiri | 0, North Lakhimpur | 0)","27(Bihpuria | 11, Dhakuakhana | 1, Nowboicha | 4, Subansiri | 6, North Lakhimpur | 5)"
Morigaon,20,"0(Morigaon | 0, Bhuragaon | 0)","20(Morigaon | 5, Bhuragaon | 15)"
Hojai,78,"48(Doboka | 14, Hojai | 34, Lanka | 0)","30(Doboka | 19, Hojai | 6, Lanka | 5)"
Nagaon,127,"50(Nagaon | 22, Raha | 11, Kampur | 17, Samaguri | 0)","77(Nagaon | 25, Raha | 39, Kampur | 8, Samaguri | 5)"
Hailakandi,30,"5(Algapur | 3, Katlicherra | 2, Lala | 0, Hailakandi | 0)","25(Algapur | 1, Katlicherra | 3, Lala | 13, Hailakandi | 8)"
Golaghat,9,0(Bokakhat | 0),9(Bokakhat | 9)
Goalpara,105,"64(Balijana | 28, Matia | 6, Lakhipur | 30)","41(Balijana | 11, Matia | 0, Lakhipur | 30)"
Dima-Hasao,30,25(Haflong | 25),5(Haflong | 5)
Dhubri,37,"37(Chapar | 2, Athani | 4, Dhubri | 1, Golakganj | 1, Bilasipara | 29)","0(Chapar | 0, Athani | 0, Dhubri | 0, Golakganj | 0, Bilasipara | 0)"
Dhemaji,6,"0(Jonai | 0, Gogamukh | 0)","6(Jonai | 4, Gogamukh | 2)"
Darrang,99,"16(Mangaldoi | 5, Patharighat | 4, Dalgaon | 1, Sipajhar | 6)","83(Mangaldoi | 55, Patharighat | 8, Dalgaon | 8, Sipajhar | 12)"
Chirang,14,"12(Bijni | 10, Bengtal | 2)","2(Bijni | 0, Bengtal | 2)"
Cachar,148,"129(Silchar | 58, Sonai | 14, Udharbond | 1, Katigorah | 37, Lakhipur | 19)","19(Silchar | 0, Sonai | 6, Udharbond | 0, Katigorah | 9, Lakhipur | 4)"
Bongaigaon,32,"30(Boitamari | 2, Manikpur | 2, Srijangram | 26)","2(Boitamari | 1, Manikpur | 1, Srijangram | 0)"
Biswanath,3,0(Biswanath | 0),3(Biswanath | 3)
Barpeta,112,"96(Baghbar | 5, Barpeta | 39, Sarthebari | 15, Chenga | 37, Barnagar | 0)","16(Baghbar | 0, Barpeta | 0, Sarthebari | 6, Chenga | 3, Barnagar | 7)"
Kamrup,80,"50(Rangia | 18, Kayan | 1, Kamalpur | 17, Hajo | 10, North Ghy | 4)","30(Rangia | 1, Kayan | 4, Kamalpur | 15, Hajo | 6, North Ghy | 4)"
Bajali,77,"46(Sarupeta | 9, Bajali | 37)","31(Sarupeta | 1, Bajali | 30)"
Baksa,13,"5(Baska | 1, Baganpara | 1, Barama | 3, Barnagar RC part | 0)","8(Baska | 1, Baganpara | 2, Barama | 0, Barnagar RC part | 5)"
Sonitpur,26,"2(Chariduar | 1, Dhekiajuli | 1, Thelamara | 0, Tezpur | 0)","24(Chariduar | 6, Dhekiajuli | 3, Thelamara | 4, Tezpur | 11)"
Tamulpur,52,"22(Tamulpur | 14, Goreswar | 8)","30(Tamulpur | 12, Goreswar | 18)"
Tinsukia,20,"1(Doomdooma | 1, Tinsukia | 0)","19(Doomdooma | 1, Tinsukia | 18)"
Udalguri,66,"25(Udalguri | 10, Mazbat | 7, Kalaigaon | 3, Harisinga | 5, Khairabari | 0)","41(Udalguri | 25, Mazbat | 0, Kalaigaon | 12, Harisinga | 0, Khairabari | 4)"
Nalbari,107,"105(Tihu | 20, Paschim Nalbari | 21, Banekuchi | 14, Barkhetri | 1, Barbhag | 20, Nalbari | 29, Ghograpar | 0)","2(Tihu | 0, Paschim Nalbari | 0, Banekuchi | 0, Barkhetri | 0, Barbhag | 0, Nalbari | 1, Ghograpar | 1)"
